City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
268,Bedford,GB,2020-10-31 15:49:16,52.13,-0.47,55.0,81,20,24.16
269,Manicore,BR,2020-10-31 15:50:14,-5.81,-61.3,97.0,42,88,3.38
270,Ramgarh,IN,2020-10-31 15:48:09,23.63,85.52,75.2,64,13,2.24
271,Jojoima,SL,2020-10-31 15:50:14,7.88,-10.79,90.12,49,59,1.34
272,Nikolskoye,RU,2020-10-31 15:50:14,59.7,30.79,42.8,81,75,4.47
273,Natal,BR,2020-10-31 15:49:48,-5.79,-35.21,84.2,70,75,17.22
274,Pionki,PL,2020-10-31 15:50:14,51.48,21.45,50.0,83,70,3.87
275,San Juan,AR,2020-10-31 15:50:14,-31.54,-68.54,81.97,16,0,8.28
276,Santa Teresa,VE,2020-10-31 15:50:14,10.23,-66.66,80.01,62,14,0.87
277,Queimadas,BR,2020-10-31 15:50:15,-10.98,-39.63,88.11,47,87,2.24
278,Sala,MA,2020-10-31 15:45:54,34.04,-6.82,69.8,73,0,6.93
279,Salihorsk,BY,2020-10-31 15:50:15,52.79,27.54,47.52,87,95,8.14
280,Sabha,LY,2020-10-31 15:50:15,27.04,14.43,70.48,35,0,5.64
281,Antalaha,MG,2020-10-31 15:50:15,-14.9,50.28,70.9,75,56,11.16
282,Thiers,FR,2020-10-31 15:50:15,45.83,3.5,71.6,33,0,2.24
283,Leh,IN,2020-10-31 15:50:15,34.17,77.58,32.13,68,23,2.39
284,Lubango,AO,2020-10-31 15:50:15,-14.92,13.49,77.0,66,75,6.93
285,Mikhaylovskoye,RU,2020-10-31 15:50:15,51.82,79.72,33.76,89,57,3.65
286,Abnub,EG,2020-10-31 15:50:15,27.27,31.15,82.4,54,0,4.7
287,Mugma,IN,2020-10-31 15:48:22,23.77,86.73,76.53,62,37,5.3
288,Banda Aceh,ID,2020-10-31 15:50:15,5.56,95.32,80.69,77,97,8.08
289,Santa Vitoria Do Palmar,BR,2020-10-31 15:50:15,-33.52,-53.37,65.35,58,44,6.91
290,Kita,ML,2020-10-31 15:50:16,13.03,-9.49,96.3,18,24,6.98
