City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
256,Irtyshskiy,RU,58.33,68.13,27.18,98,44,7.2,scattered clouds
257,Port Elizabeth,ZA,-33.92,25.57,64.4,82,11,13.87,few clouds
258,Dudinka,RU,69.41,86.18,21.2,85,100,17.9,light snow
259,Zhezkazgan,KZ,47.8,67.71,39.45,58,0,3.2,clear sky
260,Kirkenaer,NO,60.46,12.06,48.2,93,75,19.46,broken clouds
261,Lasa,IT,46.62,10.7,50.0,66,75,4.7,broken clouds
262,Melo,UY,-32.37,-54.18,68.11,55,0,7.65,clear sky
263,Semirom,IR,31.42,51.57,33.93,80,0,1.5,clear sky
264,Mga,RU,59.75,31.07,32.0,94,90,6.71,fog
265,Barinas,VE,8.62,-70.21,78.19,82,100,3.42,overcast clouds
266,Likhoy,RU,48.13,40.21,57.51,73,100,14.56,moderate rain
267,Metz,FR,49.12,6.17,64.0,82,90,11.41,overcast clouds
268,Gurkovo,BG,42.67,25.8,44.01,81,5,4.7,clear sky
269,Maputo,MZ,-25.97,32.59,70.0,88,75,9.17,broken clouds
270,Sur,OM,22.57,59.53,69.82,49,0,3.8,clear sky
271,Chik,RU,54.99,82.43,35.6,87,0,8.95,clear sky
272,Quarai,BR,-30.39,-56.45,72.12,46,0,10.83,clear sky
273,Marquette,US,46.53,-87.63,30.0,63,100,13.0,light snow
274,State College,US,40.79,-77.86,48.0,93,75,10.29,shower rain
275,Tucuman,AR,-26.82,-65.22,87.8,19,0,10.29,clear sky
276,Halifax,CA,44.65,-63.57,51.01,76,100,20.8,overcast clouds
277,Alindao,CF,5.03,21.21,72.59,92,100,2.35,overcast clouds
278,Saint Anthony,US,45.02,-93.22,37.4,34,1,12.75,clear sky
279,Bereda,ES,43.27,-7.54,64.99,88,95,18.99,overcast clouds
280,Bandar-E Lengeh,IR,26.56,54.88,77.0,78,0,6.85,clear sky
281,Grand Gaube,MU,-20.01,57.66,68.0,68,29,3.0,scattered clouds
